Timestamp               Ty Process[PID:TID]
2026-07-17 01:09:00.646 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=354
2026-07-17 01:09:03.688 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=397
2026-07-17 01:09:06.656 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=364
2026-07-17 01:09:09.760 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=468
2026-07-17 01:09:12.648 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=355
2026-07-17 01:09:15.574 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=274
2026-07-17 01:09:15.644 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=352
2026-07-17 01:09:18.659 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=365
2026-07-17 01:09:21.787 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=495
2026-07-17 01:09:24.569 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=273
2026-07-17 01:09:27.705 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=413
2026-07-17 01:09:30.576 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=280
2026-07-17 01:09:33.989 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=697
2026-07-17 01:09:36.690 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=397
2026-07-17 01:09:39.669 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=373
2026-07-17 01:09:42.710 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=417
